Vocab size: 65,536
num_layers: 20
model_dim: 1280
num_heads: 10
num_kv_heads: 10
Tokens / micro-batch / rank: 32 x 2048 = 65,536
Tokens / micro-batch: 524,288
Total batch size 524,288 => gradient accumulation steps: 1
Number of parameters: 560,988,160
Estimated FLOPs per token: 3.491758e+09
Calculated number of iterations from target data:param ratio: 21,400
Total number of training tokens: 11,219,763,200
Tokens : Params ratio: 20.00
Total training FLOPs estimate: 3.917670e+19
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Muon: Grouping 80 params of shape torch.Size([1280, 1280]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([1280, 5120]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([5120, 1280]), device cuda:0, dtype torch.float32
Step 00000 | Validation bpb: 3.3011
step 00000/21400 (0.00%) | loss: 11.090355 | grad norm: 0.4270 | lrm: 1.00 | dt: 73303.53ms | tok/sec: 7,152 | mfu: 0.32 | total time: 0.00m
step 00027/21400 (0.13%) | loss: 6.461924 | grad norm: 1.6854 | lrm: 1.00 | dt: 550.32ms | tok/sec: 952,691 | mfu: 42.04 | total time: 0.14m
step 00028/21400 (0.13%) | loss: 6.432995 | grad norm: 1.1803 | lrm: 1.00 | dt: 478.03ms | tok/sec: 1,096,767 | mfu: 48.40 | total time: 0.15m
step 00029/21400 (0.14%) | loss: 6.409055 | grad norm: 1.1710 | lrm: 1.00 | dt: 494.75ms | tok/sec: 1,059,695 | mfu: 46.77 | total time: 0.16m
step 00030/21400 (0.14%) | loss: 6.376726 | grad norm: 1.1205 | lrm: 1.00 | dt: 485.05ms | tok/sec: 1,080,886 | mfu: 47.70 | total time: 0.17m
step 00031/21400 (0.14%) | loss: 6.352868 | grad norm: 1.0319 | lrm: 1.00 | dt: 490.44ms | tok/sec: 1,069,015 | mfu: 47.18 | total time: 0.17m
step 00032/21400 (0.15%) | loss: 6.323996 | grad norm: 0.9492 | lrm: 1.00 | dt: 487.02ms | tok/sec: 1,076,532 | mfu: 47.51 | total time: 0.18m
step 00033/21400 (0.15%) | loss: 6.293704 | grad norm: 1.0843 | lrm: 1.00 | dt: 488.70ms | tok/sec: 1,072,818 | mfu: 47.35 | total time: 0.19m
step 00034/21400 (0.16%) | loss: 6.273804 | grad norm: 1.1542 | lrm: 1.00 | dt: 487.88ms | tok/sec: 1,074,623 | mfu: 47.43 | total time: 0.20m
step 00035/21400 (0.16%) | loss: 6.248480 | grad norm: 1.2028 | lrm: 1.00 | dt: 487.13ms | tok/sec: 1,076,269 | mfu: 47.50 | total time: 0.21m
step 00036/21400 (0.17%) | loss: 6.233825 | grad norm: 0.9665 | lrm: 1.00 | dt: 486.02ms | tok/sec: 1,078,728 | mfu: 47.61 | total time: 0.22m
step 00037/21400 (0.17%) | loss: 6.208710 | grad norm: 0.8046 | lrm: 1.00 | dt: 488.12ms | tok/sec: 1,074,105 | mfu: 47.40 | total time: 0.22m
step 00038/21400 (0.18%) | loss: 6.181185 | grad norm: 0.8772 | lrm: 1.00 | dt: 489.98ms | tok/sec: 1,070,024 | mfu: 47.22 | total time: 0.23m
step 00039/21400 (0.18%) | loss: 6.169113 | grad norm: 0.8179 | lrm: 1.00 | dt: 486.49ms | tok/sec: 1,077,695 | mfu: 47.56 | total time: 0.24m
step 00040/21400 (0.19%) | loss: 6.128966 | grad norm: 0.9931 | lrm: 1.00 | dt: 488.82ms | tok/sec: 1,072,564 | mfu: 47.33 | total time: 0.25m
step 00041/21400 (0.19%) | loss: 6.103326 | grad norm: 0.7780 | lrm: 1.00 | dt: 637.23ms | tok/sec: 822,761 | mfu: 36.31 | total time: 0.26m
step 00042/21400 (0.20%) | loss: 6.081367 | grad norm: 1.0133 | lrm: 1.00 | dt: 478.82ms | tok/sec: 1,094,966 | mfu: 48.32 | total time: 0.27m
step 00043/21400 (0.20%) | loss: 6.083055 | grad norm: 0.9817 | lrm: 1.00 | dt: 490.98ms | tok/sec: 1,067,843 | mfu: 47.13 | total time: 0.27m
step 00044/21400 (0.21%) | loss: 6.063309 | grad norm: 0.9203 | lrm: 1.00 | dt: 485.82ms | tok/sec: 1,079,187 | mfu: 47.63 | total time: 0.28m
step 00045/21400 (0.21%) | loss: 6.057267 | grad norm: 0.7760 | lrm: 1.00 | dt: 488.41ms | tok/sec: 1,073,464 | mfu: 47.37 | total time: 0.29m
step 00046/21400 (0.21%) | loss: 6.034614 | grad norm: 0.7800 | lrm: 1.00 | dt: 488.18ms | tok/sec: 1,073,973 | mfu: 47.40 | total time: 0.30m
step 00047/21400 (0.22%) | loss: 6.013496 | grad norm: 0.6893 | lrm: 1.00 | dt: 486.70ms | tok/sec: 1,077,220 | mfu: 47.54 | total time: 0.31m
step 00048/21400 (0.22%) | loss: 6.005101 | grad norm: 0.7704 | lrm: 1.00 | dt: 487.63ms | tok/sec: 1,075,182 | mfu: 47.45 | total time: 0.32m
step 00049/21400 (0.23%) | loss: 5.988782 | grad norm: 0.8342 | lrm: 1.00 | dt: 488.35ms | tok/sec: 1,073,588 | mfu: 47.38 | total time: 0.32m
step 00050/21400 (0.23%) | loss: 5.969173 | grad norm: 0.8055 | lrm: 1.00 | dt: 594.94ms | tok/sec: 881,241 | mfu: 38.89 | total time: 0.33m
step 00051/21400 (0.24%) | loss: 5.949622 | grad norm: 0.8440 | lrm: 1.00 | dt: 482.49ms | tok/sec: 1,086,632 | mfu: 47.96 | total time: 0.34m
step 00052/21400 (0.24%) | loss: 5.948298 | grad norm: 0.8184 | lrm: 1.00 | dt: 500.63ms | tok/sec: 1,047,254 | mfu: 46.22 | total time: 0.35m
step 00053/21400 (0.25%) | loss: 5.925181 | grad norm: 0.8361 | lrm: 1.00 | dt: 482.85ms | tok/sec: 1,085,822 | mfu: 47.92 | total time: 0.36m
step 00054/21400 (0.25%) | loss: 5.903141 | grad norm: 1.0507 | lrm: 1.00 | dt: 495.12ms | tok/sec: 1,058,901 | mfu: 46.73 | total time: 0.37m
step 00055/21400 (0.26%) | loss: 5.879196 | grad norm: 0.8630 | lrm: 1.00 | dt: 485.96ms | tok/sec: 1,078,868 | mfu: 47.61 | total time: 0.37m
step 00056/21400 (0.26%) | loss: 5.869082 | grad norm: 0.9332 | lrm: 1.00 | dt: 555.63ms | tok/sec: 943,590 | mfu: 41.64 | total time: 0.38m
step 00057/21400 (0.27%) | loss: 5.856520 | grad norm: 0.9516 | lrm: 1.00 | dt: 551.10ms | tok/sec: 951,349 | mfu: 41.99 | total time: 0.39m
step 00058/21400 (0.27%) | loss: 5.835123 | grad norm: 0.8797 | lrm: 1.00 | dt: 480.63ms | tok/sec: 1,090,834 | mfu: 48.14 | total time: 0.40m
step 00059/21400 (0.28%) | loss: 5.826965 | grad norm: 0.8084 | lrm: 1.00 | dt: 495.35ms | tok/sec: 1,058,428 | mfu: 46.71 | total time: 0.41m
step 00060/21400 (0.28%) | loss: 5.802396 | grad norm: 0.8347 | lrm: 1.00 | dt: 487.76ms | tok/sec: 1,074,894 | mfu: 47.44 | total time: 0.42m
step 00061/21400 (0.29%) | loss: 5.786677 | grad norm: 0.8347 | lrm: 1.00 | dt: 492.83ms | tok/sec: 1,063,833 | mfu: 46.95 | total time: 0.43m
step 00062/21400 (0.29%) | loss: 5.768221 | grad norm: 0.7823 | lrm: 1.00 | dt: 489.79ms | tok/sec: 1,070,430 | mfu: 47.24 | total time: 0.43m
step 00063/21400 (0.29%) | loss: 5.753984 | grad norm: 0.8378 | lrm: 1.00 | dt: 554.28ms | tok/sec: 945,883 | mfu: 41.74 | total time: 0.44m
step 00064/21400 (0.30%) | loss: 5.731975 | grad norm: 0.6635 | lrm: 1.00 | dt: 559.57ms | tok/sec: 936,946 | mfu: 41.35 | total time: 0.45m
step 00065/21400 (0.30%) | loss: 5.721558 | grad norm: 0.7900 | lrm: 1.00 | dt: 482.06ms | tok/sec: 1,087,599 | mfu: 48.00 | total time: 0.46m
step 00066/21400 (0.31%) | loss: 5.715176 | grad norm: 0.8118 | lrm: 1.00 | dt: 498.74ms | tok/sec: 1,051,222 | mfu: 46.39 | total time: 0.47m
step 00067/21400 (0.31%) | loss: 5.696025 | grad norm: 0.8651 | lrm: 1.00 | dt: 488.11ms | tok/sec: 1,074,126 | mfu: 47.40 | total time: 0.48m
step 00068/21400 (0.32%) | loss: 5.672225 | grad norm: 0.8665 | lrm: 1.00 | dt: 494.92ms | tok/sec: 1,059,343 | mfu: 46.75 | total time: 0.48m
step 00069/21400 (0.32%) | loss: 5.651882 | grad norm: 0.6442 | lrm: 1.00 | dt: 488.92ms | tok/sec: 1,072,335 | mfu: 47.32 | total time: 0.49m
step 00070/21400 (0.33%) | loss: 5.638957 | grad norm: 0.5645 | lrm: 1.00 | dt: 494.28ms | tok/sec: 1,060,707 | mfu: 46.81 | total time: 0.50m
step 00071/21400 (0.33%) | loss: 5.625407 | grad norm: 0.7213 | lrm: 1.00 | dt: 491.56ms | tok/sec: 1,066,576 | mfu: 47.07 | total time: 0.51m
step 00072/21400 (0.34%) | loss: 5.603649 | grad norm: 0.8355 | lrm: 1.00 | dt: 491.90ms | tok/sec: 1,065,840 | mfu: 47.04 | total time: 0.52m
step 00073/21400 (0.34%) | loss: 5.567435 | grad norm: 0.7654 | lrm: 1.00 | dt: 493.10ms | tok/sec: 1,063,253 | mfu: 46.92 | total time: 0.53m
step 00074/21400 (0.35%) | loss: 5.555835 | grad norm: 0.6328 | lrm: 1.00 | dt: 548.82ms | tok/sec: 955,305 | mfu: 42.16 | total time: 0.53m
step 00075/21400 (0.35%) | loss: 5.538306 | grad norm: 0.7844 | lrm: 1.00 | dt: 481.74ms | tok/sec: 1,088,318 | mfu: 48.03 | total time: 0.54m
step 00076/21400 (0.36%) | loss: 5.519638 | grad norm: 0.7760 | lrm: 1.00 | dt: 492.41ms | tok/sec: 1,064,741 | mfu: 46.99 | total time: 0.55m
step 00077/21400 (0.36%) | loss: 5.500497 | grad norm: 0.7578 | lrm: 1.00 | dt: 493.41ms | tok/sec: 1,062,579 | mfu: 46.89 | total time: 0.56m
step 00078/21400 (0.36%) | loss: 5.485249 | grad norm: 0.7500 | lrm: 1.00 | dt: 488.82ms | tok/sec: 1,072,556 | mfu: 47.33 | total time: 0.57m
step 00079/21400 (0.37%) | loss: 5.467463 | grad norm: 0.8365 | lrm: 1.00 | dt: 493.78ms | tok/sec: 1,061,784 | mfu: 46.86 | total time: 0.58m
step 00080/21400 (0.37%) | loss: 5.457148 | grad norm: 0.7184 | lrm: 1.00 | dt: 490.79ms | tok/sec: 1,068,257 | mfu: 47.14 | total time: 0.58m
step 00081/21400 (0.38%) | loss: 5.441592 | grad norm: 0.6926 | lrm: 1.00 | dt: 490.45ms | tok/sec: 1,068,997 | mfu: 47.18 | total time: 0.59m
step 00082/21400 (0.38%) | loss: 5.431992 | grad norm: 0.7244 | lrm: 1.00 | dt: 488.24ms | tok/sec: 1,073,829 | mfu: 47.39 | total time: 0.60m
step 00083/21400 (0.39%) | loss: 5.417162 | grad norm: 0.7133 | lrm: 1.00 | dt: 488.72ms | tok/sec: 1,072,787 | mfu: 47.34 | total time: 0.61m
step 00084/21400 (0.39%) | loss: 5.396970 | grad norm: 0.7115 | lrm: 1.00 | dt: 492.14ms | tok/sec: 1,065,313 | mfu: 47.01 | total time: 0.62m
step 00085/21400 (0.40%) | loss: 5.387881 | grad norm: 0.7749 | lrm: 1.00 | dt: 490.35ms | tok/sec: 1,069,206 | mfu: 47.19 | total time: 0.62m
step 00086/21400 (0.40%) | loss: 5.379069 | grad norm: 0.7444 | lrm: 1.00 | dt: 547.15ms | tok/sec: 958,217 | mfu: 42.29 | total time: 0.63m
step 00087/21400 (0.41%) | loss: 5.363857 | grad norm: 0.8775 | lrm: 1.00 | dt: 481.55ms | tok/sec: 1,088,755 | mfu: 48.05 | total time: 0.64m
step 00088/21400 (0.41%) | loss: 5.351984 | grad norm: 0.7999 | lrm: 1.00 | dt: 492.82ms | tok/sec: 1,063,852 | mfu: 46.95 | total time: 0.65m
step 00089/21400 (0.42%) | loss: 5.315941 | grad norm: 0.6743 | lrm: 1.00 | dt: 492.58ms | tok/sec: 1,064,376 | mfu: 46.97 | total time: 0.66m
step 00090/21400 (0.42%) | loss: 5.301091 | grad norm: 0.7291 | lrm: 1.00 | dt: 489.97ms | tok/sec: 1,070,031 | mfu: 47.22 | total time: 0.67m
step 00091/21400 (0.43%) | loss: 5.298740 | grad norm: 0.8210 | lrm: 1.00 | dt: 567.81ms | tok/sec: 923,346 | mfu: 40.75 | total time: 0.68m
step 00092/21400 (0.43%) | loss: 5.297326 | grad norm: 0.7991 | lrm: 1.00 | dt: 484.26ms | tok/sec: 1,082,658 | mfu: 47.78 | total time: 0.68m
step 00093/21400 (0.43%) | loss: 5.296882 | grad norm: 0.9221 | lrm: 1.00 | dt: 503.63ms | tok/sec: 1,041,024 | mfu: 45.94 | total time: 0.69m
step 00094/21400 (0.44%) | loss: 5.279782 | grad norm: 0.7071 | lrm: 1.00 | dt: 486.75ms | tok/sec: 1,077,114 | mfu: 47.54 | total time: 0.70m
step 00095/21400 (0.44%) | loss: 5.271765 | grad norm: 0.7037 | lrm: 1.00 | dt: 545.50ms | tok/sec: 961,111 | mfu: 42.42 | total time: 0.71m
step 00096/21400 (0.45%) | loss: 5.245447 | grad norm: 0.7359 | lrm: 1.00 | dt: 705.21ms | tok/sec: 743,451 | mfu: 32.81 | total time: 0.72m
step 00097/21400 (0.45%) | loss: 5.240146 | grad norm: 0.7024 | lrm: 1.00 | dt: 607.88ms | tok/sec: 862,479 | mfu: 38.06 | total time: 0.73m
step 00098/21400 (0.46%) | loss: 5.252674 | grad norm: 0.7030 | lrm: 1.00 | dt: 560.81ms | tok/sec: 934,876 | mfu: 41.26 | total time: 0.74m
step 00099/21400 (0.46%) | loss: 5.235284 | grad norm: 0.6553 | lrm: 1.00 | dt: 548.07ms | tok/sec: 956,610 | mfu: 42.22 | total time: 0.75m
step 00100/21400 (0.47%) | loss: 5.215841 | grad norm: 0.5935 | lrm: 1.00 | dt: 554.00ms | tok/sec: 946,372 | mfu: 41.77 | total time: 0.76m
step 00101/21400 (0.47%) | loss: 5.199563 | grad norm: 0.6675 | lrm: 1.00 | dt: 691.07ms | tok/sec: 758,660 | mfu: 33.48 | total time: 0.77m
step 00102/21400 (0.48%) | loss: 5.205482 | grad norm: 1.3425 | lrm: 1.00 | dt: 482.80ms | tok/sec: 1,085,927 | mfu: 47.92 | total time: 0.78m
step 00103/21400 (0.48%) | loss: 5.180806 | grad norm: 0.5652 | lrm: 1.00 | dt: 555.48ms | tok/sec: 943,853 | mfu: 41.65 | total time: 0.79m
step 00104/21400 (0.49%) | loss: 5.182997 | grad norm: 0.6146 | lrm: 1.00 | dt: 536.07ms | tok/sec: 978,024 | mfu: 43.16 | total time: 0.80m
step 00105/21400 (0.49%) | loss: 5.172668 | grad norm: 0.6560 | lrm: 1.00 | dt: 549.28ms | tok/sec: 954,507 | mfu: 42.12 | total time: 0.81m
step 00106/21400 (0.50%) | loss: 5.152801 | grad norm: 0.7774 | lrm: 1.00 | dt: 672.35ms | tok/sec: 779,783 | mfu: 34.41 | total time: 0.82m
step 00107/21400 (0.50%) | loss: 5.132560 | grad norm: 0.6926 | lrm: 1.00 | dt: 608.14ms | tok/sec: 862,114 | mfu: 38.05 | total time: 0.83m
step 00108/21400 (0.50%) | loss: 5.121392 | grad norm: 0.7461 | lrm: 1.00 | dt: 567.57ms | tok/sec: 923,745 | mfu: 40.77 | total time: 0.84m
step 00109/21400 (0.51%) | loss: 5.114537 | grad norm: 0.7567 | lrm: 1.00 | dt: 543.33ms | tok/sec: 964,955 | mfu: 42.59 | total time: 0.85m
step 00110/21400 (0.51%) | loss: 5.084901 | grad norm: 0.6707 | lrm: 1.00 | dt: 544.16ms | tok/sec: 963,487 | mfu: 42.52 | total time: 0.86m
step 00111/21400 (0.52%) | loss: 5.077635 | grad norm: 0.5894 | lrm: 1.00 | dt: 483.64ms | tok/sec: 1,084,055 | mfu: 47.84 | total time: 0.86m
step 00112/21400 (0.52%) | loss: 5.048046 | grad norm: 0.6598 | lrm: 1.00 | dt: 615.75ms | tok/sec: 851,465 | mfu: 37.58 | total time: 0.87m
step 00113/21400 (0.53%) | loss: 5.029336 | grad norm: 0.6739 | lrm: 1.00 | dt: 607.69ms | tok/sec: 862,754 | mfu: 38.08 | total time: 0.88m
step 00114/21400 (0.53%) | loss: 5.035389 | grad norm: 0.8336 | lrm: 1.00 | dt: 569.90ms | tok/sec: 919,960 | mfu: 40.60 | total time: 0.89m
step 00115/21400 (0.54%) | loss: 5.026461 | grad norm: 0.7174 | lrm: 1.00 | dt: 482.31ms | tok/sec: 1,087,028 | mfu: 47.97 | total time: 0.90m
step 00116/21400 (0.54%) | loss: 5.015714 | grad norm: 0.6241 | lrm: 1.00 | dt: 494.86ms | tok/sec: 1,059,471 | mfu: 46.76 | total time: 0.91m
step 00117/21400 (0.55%) | loss: 5.008479 | grad norm: 0.5884 | lrm: 1.00 | dt: 489.46ms | tok/sec: 1,071,166 | mfu: 47.27 | total time: 0.92m
step 00118/21400 (0.55%) | loss: 4.994855 | grad norm: 0.6400 | lrm: 1.00 | dt: 554.28ms | tok/sec: 945,882 | mfu: 41.74 | total time: 0.93m
step 00119/21400 (0.56%) | loss: 4.981865 | grad norm: 0.7052 | lrm: 1.00 | dt: 633.00ms | tok/sec: 828,259 | mfu: 36.55 | total time: 0.94m
step 00120/21400 (0.56%) | loss: 4.972916 | grad norm: 0.6533 | lrm: 1.00 | dt: 479.16ms | tok/sec: 1,094,185 | mfu: 48.29 | total time: 0.95m
step 00121/21400 (0.57%) | loss: 4.963785 | grad norm: 0.5867 | lrm: 1.00 | dt: 555.68ms | tok/sec: 943,514 | mfu: 41.64 | total time: 0.95m
step 00122/21400 (0.57%) | loss: 4.945828 | grad norm: 0.7182 | lrm: 1.00 | dt: 553.62ms | tok/sec: 947,022 | mfu: 41.79 | total time: 0.96m
step 00123/21400 (0.57%) | loss: 4.937552 | grad norm: 0.7003 | lrm: 1.00 | dt: 551.14ms | tok/sec: 951,274 | mfu: 41.98 | total time: 0.97m
step 00124/21400 (0.58%) | loss: 4.923502 | grad norm: 0.6753 | lrm: 1.00 | dt: 615.02ms | tok/sec: 852,479 | mfu: 37.62 | total time: 0.98m
step 00125/21400 (0.58%) | loss: 4.911386 | grad norm: 0.6173 | lrm: 1.00 | dt: 481.92ms | tok/sec: 1,087,916 | mfu: 48.01 | total time: 0.99m
step 00126/21400 (0.59%) | loss: 4.910833 | grad norm: 0.5566 | lrm: 1.00 | dt: 495.79ms | tok/sec: 1,057,477 | mfu: 46.67 | total time: 1.00m
step 00127/21400 (0.59%) | loss: 4.897572 | grad norm: 0.6025 | lrm: 1.00 | dt: 633.90ms | tok/sec: 827,078 | mfu: 36.50 | total time: 1.01m
step 00128/21400 (0.60%) | loss: 4.875161 | grad norm: 0.6609 | lrm: 1.00 | dt: 593.95ms | tok/sec: 882,711 | mfu: 38.96 | total time: 1.02m
step 00129/21400 (0.60%) | loss: 4.864617 | grad norm: 0.5742 | lrm: 1.00 | dt: 555.89ms | tok/sec: 943,143 | mfu: 41.62 | total time: 1.03m
step 00130/21400 (0.61%) | loss: 4.855257 | grad norm: 0.6972 | lrm: 1.00 | dt: 680.58ms | tok/sec: 770,355 | mfu: 34.00 | total time: 1.04m
step 00131/21400 (0.61%) | loss: 4.836351 | grad norm: 0.7718 | lrm: 1.00 | dt: 549.24ms | tok/sec: 954,567 | mfu: 42.13 | total time: 1.05m
step 00132/21400 (0.62%) | loss: 4.819979 | grad norm: 0.6413 | lrm: 1.00 | dt: 482.82ms | tok/sec: 1,085,885 | mfu: 47.92 | total time: 1.06m
step 00133/21400 (0.62%) | loss: 4.833850 | grad norm: 0.6859 | lrm: 1.00 | dt: 552.40ms | tok/sec: 949,116 | mfu: 41.89 | total time: 1.07m
step 00134/21400 (0.63%) | loss: 4.830153 | grad norm: 0.6257 | lrm: 1.00 | dt: 606.56ms | tok/sec: 864,360 | mfu: 38.15 | total time: 1.08m
step 00135/21400 (0.63%) | loss: 4.825453 | grad norm: 0.6455 | lrm: 1.00 | dt: 483.94ms | tok/sec: 1,083,364 | mfu: 47.81 | total time: 1.09m
step 00136/21400 (0.64%) | loss: 4.810877 | grad norm: 0.6066 | lrm: 1.00 | dt: 499.42ms | tok/sec: 1,049,786 | mfu: 46.33 | total time: 1.09m
step 00137/21400 (0.64%) | loss: 4.798519 | grad norm: 0.6289 | lrm: 1.00 | dt: 552.53ms | tok/sec: 948,885 | mfu: 41.88 | total time: 1.10m
step 00138/21400 (0.64%) | loss: 4.800565 | grad norm: 0.7515 | lrm: 1.00 | dt: 482.47ms | tok/sec: 1,086,667 | mfu: 47.96 | total time: 1.11m
step 00139/21400 (0.65%) | loss: 4.786144 | grad norm: 0.6034 | lrm: 1.00 | dt: 550.02ms | tok/sec: 953,221 | mfu: 42.07 | total time: 1.12m
step 00140/21400 (0.65%) | loss: 4.776944 | grad norm: 0.5597 | lrm: 1.00 | dt: 549.53ms | tok/sec: 954,068 | mfu: 42.11 | total time: 1.13m
step 00141/21400 (0.66%) | loss: 4.756944 | grad norm: 0.6306 | lrm: 1.00 | dt: 483.98ms | tok/sec: 1,083,281 | mfu: 47.81 | total time: 1.14m
step 00142/21400 (0.66%) | loss: 4.756549 | grad norm: 0.5135 | lrm: 1.00 | dt: 490.84ms | tok/sec: 1,068,142 | mfu: 47.14 | total time: 1.15m
step 00143/21400 (0.67%) | loss: 4.753638 | grad norm: 0.5155 | lrm: 1.00 | dt: 491.52ms | tok/sec: 1,066,675 | mfu: 47.07 | total time: 1.15m
step 00144/21400 (0.67%) | loss: 4.742618 | grad norm: 0.5114 | lrm: 1.00 | dt: 618.09ms | tok/sec: 848,232 | mfu: 37.43 | total time: 1.16m
step 00145/21400 (0.68%) | loss: 4.736563 | grad norm: 0.4805 | lrm: 1.00 | dt: 482.85ms | tok/sec: 1,085,816 | mfu: 47.92 | total time: 1.17m
