2025-11-30 21:00:33,911 - nanochat.checkpoint_manager - [32m[1mINFO[0m - No model tag provided, guessing model tag: d20
2025-11-30 21:00:33,912 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Loading model from /home/ubuntu/.cache/nanochat/mid_checkpoints/d20 with step 808
2025-11-30 21:00:35,162 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Building model with config: {'sequence_len': 2048, 'vocab_size': 65536, 'n_layer': 20, 'n_head': 10, 'n_kv_head': 10, 'n_embd': 1280}
Target examples per step: 32
Device batch size: 4
Examples per step is device_batch_size * ddp_world_size: 32
=> Setting grad accum steps: 1
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Muon: Grouping 80 params of shape torch.Size([1280, 1280]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([1280, 5120]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([5120, 1280]), device cuda:0, dtype torch.float32
Step 00000 | Validation loss: 1.017535
Step 00000/00701 | Training loss: 0.977048| lrm: 1.000000| num_tokens: 10,466
Step 00020/00701 | Training loss: 0.547005| lrm: 0.971469| num_tokens: 13,638
Step 00021/00701 | Training loss: 0.485028| lrm: 0.970043| num_tokens: 6,738
Step 00022/00701 | Training loss: 1.125919| lrm: 0.968616| num_tokens: 7,966
Step 00023/00701 | Training loss: 1.047317| lrm: 0.967190| num_tokens: 10,094
Step 00024/00701 | Training loss: 0.831564| lrm: 0.965763| num_tokens: 13,821
Step 00025/00701 | Training loss: 0.810575| lrm: 0.964337| num_tokens: 7,556
Step 00026/00701 | Training loss: 0.998671| lrm: 0.962910| num_tokens: 14,477
Step 00027/00701 | Training loss: 1.082464| lrm: 0.961484| num_tokens: 9,886
Step 00028/00701 | Training loss: 0.917053| lrm: 0.960057| num_tokens: 10,523
Step 00029/00701 | Training loss: 0.989736| lrm: 0.958631| num_tokens: 8,140
Step 00030/00701 | Training loss: 0.544304| lrm: 0.957204| num_tokens: 8,756
Step 00031/00701 | Training loss: 1.020299| lrm: 0.955777| num_tokens: 8,324
Step 00032/00701 | Training loss: 0.309433| lrm: 0.954351| num_tokens: 11,618
Step 00033/00701 | Training loss: 1.019743| lrm: 0.952924| num_tokens: 10,073
Step 00034/00701 | Training loss: 1.007686| lrm: 0.951498| num_tokens: 14,307
Step 00035/00701 | Training loss: 1.034129| lrm: 0.950071| num_tokens: 11,875
Step 00036/00701 | Training loss: 1.059692| lrm: 0.948645| num_tokens: 9,823
Step 00037/00701 | Training loss: 0.511191| lrm: 0.947218| num_tokens: 12,349
Step 00038/00701 | Training loss: 0.880463| lrm: 0.945792| num_tokens: 8,328
Step 00039/00701 | Training loss: 0.878954| lrm: 0.944365| num_tokens: 8,622
Step 00040/00701 | Training loss: 0.978183| lrm: 0.942939| num_tokens: 15,544
Step 00041/00701 | Training loss: 1.237799| lrm: 0.941512| num_tokens: 12,547
Step 00042/00701 | Training loss: 0.937037| lrm: 0.940086| num_tokens: 12,274
Step 00043/00701 | Training loss: 0.952264| lrm: 0.938659| num_tokens: 11,637
Step 00044/00701 | Training loss: 0.538463| lrm: 0.937233| num_tokens: 11,490
Step 00045/00701 | Training loss: 0.684140| lrm: 0.935806| num_tokens: 12,258
Step 00046/00701 | Training loss: 0.826512| lrm: 0.934379| num_tokens: 11,002
Step 00047/00701 | Training loss: 0.776354| lrm: 0.932953| num_tokens: 11,301
Step 00048/00701 | Training loss: 0.896607| lrm: 0.931526| num_tokens: 9,923
Step 00049/00701 | Training loss: 0.666339| lrm: 0.930100| num_tokens: 11,712
Step 00050/00701 | Training loss: 1.122093| lrm: 0.928673| num_tokens: 9,944
Step 00051/00701 | Training loss: 0.826038| lrm: 0.927247| num_tokens: 12,630
Step 00052/00701 | Training loss: 0.729164| lrm: 0.925820| num_tokens: 8,603
Step 00053/00701 | Training loss: 0.524463| lrm: 0.924394| num_tokens: 9,674
Step 00054/00701 | Training loss: 0.953616| lrm: 0.922967| num_tokens: 12,712
Step 00055/00701 | Training loss: 0.834483| lrm: 0.921541| num_tokens: 6,118
Step 00056/00701 | Training loss: 1.058319| lrm: 0.920114| num_tokens: 8,461
Step 00057/00701 | Training loss: 0.820374| lrm: 0.918688| num_tokens: 13,417
Step 00058/00701 | Training loss: 1.013297| lrm: 0.917261| num_tokens: 14,365
Step 00059/00701 | Training loss: 0.512328| lrm: 0.915835| num_tokens: 8,186
Step 00060/00701 | Training loss: 0.988813| lrm: 0.914408| num_tokens: 13,109
Step 00061/00701 | Training loss: 1.072876| lrm: 0.912981| num_tokens: 12,710
Step 00062/00701 | Training loss: 0.504715| lrm: 0.911555| num_tokens: 8,199
Step 00063/00701 | Training loss: 1.156117| lrm: 0.910128| num_tokens: 11,091
Step 00064/00701 | Training loss: 1.050624| lrm: 0.908702| num_tokens: 9,875
Step 00065/00701 | Training loss: 0.953919| lrm: 0.907275| num_tokens: 12,029
Step 00066/00701 | Training loss: 0.594018| lrm: 0.905849| num_tokens: 11,693
Step 00067/00701 | Training loss: 0.772935| lrm: 0.904422| num_tokens: 11,039
Step 00068/00701 | Training loss: 0.948782| lrm: 0.902996| num_tokens: 11,382
Step 00069/00701 | Training loss: 0.582745| lrm: 0.901569| num_tokens: 4,919
Step 00070/00701 | Training loss: 1.091673| lrm: 0.900143| num_tokens: 14,507
Step 00071/00701 | Training loss: 0.841009| lrm: 0.898716| num_tokens: 11,636
Step 00072/00701 | Training loss: 0.985835| lrm: 0.897290| num_tokens: 9,415
Step 00073/00701 | Training loss: 1.108066| lrm: 0.895863| num_tokens: 8,844
Step 00074/00701 | Training loss: 0.730592| lrm: 0.894437| num_tokens: 9,889
Step 00075/00701 | Training loss: 0.826108| lrm: 0.893010| num_tokens: 6,609
Step 00076/00701 | Training loss: 0.827888| lrm: 0.891583| num_tokens: 12,984
Step 00077/00701 | Training loss: 0.880870| lrm: 0.890157| num_tokens: 13,015
Step 00078/00701 | Training loss: 0.698923| lrm: 0.888730| num_tokens: 12,963
Step 00079/00701 | Training loss: 0.884846| lrm: 0.887304| num_tokens: 6,960
Step 00080/00701 | Training loss: 0.784621| lrm: 0.885877| num_tokens: 9,063
Step 00081/00701 | Training loss: 0.473185| lrm: 0.884451| num_tokens: 7,024
Step 00082/00701 | Training loss: 1.079714| lrm: 0.883024| num_tokens: 14,610
Step 00083/00701 | Training loss: 0.442578| lrm: 0.881598| num_tokens: 12,657
Step 00084/00701 | Training loss: 0.942645| lrm: 0.880171| num_tokens: 12,175
Step 00085/00701 | Training loss: 0.789529| lrm: 0.878745| num_tokens: 8,595
Step 00086/00701 | Training loss: 1.158023| lrm: 0.877318| num_tokens: 11,350
Step 00087/00701 | Training loss: 0.424484| lrm: 0.875892| num_tokens: 7,029
Step 00088/00701 | Training loss: 0.740027| lrm: 0.874465| num_tokens: 13,055
Step 00089/00701 | Training loss: 1.064677| lrm: 0.873039| num_tokens: 11,051
Step 00090/00701 | Training loss: 0.940022| lrm: 0.871612| num_tokens: 11,056
Step 00091/00701 | Training loss: 1.309339| lrm: 0.870185| num_tokens: 7,161
Step 00092/00701 | Training loss: 0.780743| lrm: 0.868759| num_tokens: 11,618
Step 00093/00701 | Training loss: 0.772996| lrm: 0.867332| num_tokens: 12,280
Step 00094/00701 | Training loss: 0.937222| lrm: 0.865906| num_tokens: 9,249
Step 00095/00701 | Training loss: 0.997855| lrm: 0.864479| num_tokens: 10,196
Step 00096/00701 | Training loss: 1.142546| lrm: 0.863053| num_tokens: 14,123
Step 00097/00701 | Training loss: 0.889716| lrm: 0.861626| num_tokens: 12,603
Step 00098/00701 | Training loss: 1.013087| lrm: 0.860200| num_tokens: 12,997
Step 00099/00701 | Training loss: 1.188815| lrm: 0.858773| num_tokens: 13,339
Step 00100 | Validation loss: 1.020333
Step 00100/00701 | Training loss: 0.604705| lrm: 0.857347| num_tokens: 11,938
Step 00101/00701 | Training loss: 0.407773| lrm: 0.855920| num_tokens: 8,506
Step 00102/00701 | Training loss: 0.784192| lrm: 0.854494| num_tokens: 11,003
Step 00103/00701 | Training loss: 0.728344| lrm: 0.853067| num_tokens: 14,339
Step 00104/00701 | Training loss: 0.880692| lrm: 0.851641| num_tokens: 6,429
Step 00105/00701 | Training loss: 0.900235| lrm: 0.850214| num_tokens: 9,222
Step 00106/00701 | Training loss: 1.009517| lrm: 0.848787| num_tokens: 14,672
Step 00107/00701 | Training loss: 0.677317| lrm: 0.847361| num_tokens: 11,178
Step 00108/00701 | Training loss: 0.960424| lrm: 0.845934| num_tokens: 9,748
Step 00109/00701 | Training loss: 1.021526| lrm: 0.844508| num_tokens: 11,002
Step 00110/00701 | Training loss: 1.070513| lrm: 0.843081| num_tokens: 10,291
Step 00111/00701 | Training loss: 1.057285| lrm: 0.841655| num_tokens: 9,379
Step 00112/00701 | Training loss: 0.574571| lrm: 0.840228| num_tokens: 11,342
Step 00113/00701 | Training loss: 0.900583| lrm: 0.838802| num_tokens: 14,188
Step 00114/00701 | Training loss: 0.989058| lrm: 0.837375| num_tokens: 12,612
Step 00115/00701 | Training loss: 1.009973| lrm: 0.835949| num_tokens: 9,056
Step 00116/00701 | Training loss: 1.036815| lrm: 0.834522| num_tokens: 8,162
Step 00117/00701 | Training loss: 1.016720| lrm: 0.833096| num_tokens: 15,741
Step 00118/00701 | Training loss: 1.197427| lrm: 0.831669| num_tokens: 5,807
Step 00119/00701 | Training loss: 0.949648| lrm: 0.830243| num_tokens: 9,885
Step 00120/00701 | Training loss: 1.067590| lrm: 0.828816| num_tokens: 10,081
Step 00121/00701 | Training loss: 1.062872| lrm: 0.827389| num_tokens: 16,162
Step 00122/00701 | Training loss: 0.569108| lrm: 0.825963| num_tokens: 6,968
Step 00123/00701 | Training loss: 0.916390| lrm: 0.824536| num_tokens: 9,783
Step 00124/00701 | Training loss: 0.746861| lrm: 0.823110| num_tokens: 11,613
Step 00125/00701 | Training loss: 0.661295| lrm: 0.821683| num_tokens: 12,532
Step 00126/00701 | Training loss: 0.579401| lrm: 0.820257| num_tokens: 11,807
Step 00127/00701 | Training loss: 0.657946| lrm: 0.818830| num_tokens: 11,245
Step 00128/00701 | Training loss: 0.854218| lrm: 0.817404| num_tokens: 11,312
Step 00129/00701 | Training loss: 0.578916| lrm: 0.815977| num_tokens: 13,431
Step 00130/00701 | Training loss: 0.804118| lrm: 0.814551| num_tokens: 11,309
Step 00131/00701 | Training loss: 1.120292| lrm: 0.813124| num_tokens: 9,919
Step 00132/00701 | Training loss: 1.316297| lrm: 0.811698| num_tokens: 13,859
Step 00133/00701 | Training loss: 1.073231| lrm: 0.810271| num_tokens: 11,348
Step 00134/00701 | Training loss: 0.815817| lrm: 0.808845| num_tokens: 7,057
Step 00135/00701 | Training loss: 1.173839| lrm: 0.807418| num_tokens: 11,275
Step 00136/00701 | Training loss: 0.832403| lrm: 0.805991| num_tokens: 10,820
Step 00137/00701 | Training loss: 0.694218| lrm: 0.804565| num_tokens: 11,418
Step 00138/00701 | Training loss: 0.527120| lrm: 0.803138| num_tokens: 7,503
Step 00139/00701 | Training loss: 0.629812| lrm: 0.801712| num_tokens: 10,295
Step 00140/00701 | Training loss: 1.053001| lrm: 0.800285| num_tokens: 14,119
Step 00141/00701 | Training loss: 0.886027| lrm: 0.798859| num_tokens: 14,052
Step 00142/00701 | Training loss: 0.574238| lrm: 0.797432| num_tokens: 10,095
Step 00143/00701 | Training loss: 0.614608| lrm: 0.796006| num_tokens: 9,082
Step 00144/00701 | Training loss: 0.479246| lrm: 0.794579| num_tokens: 12,123
Step 00145/00701 | Training loss: 0.280281| lrm: 0.793153| num_tokens: 10,356
Step 00146/00701 | Training loss: 0.538647| lrm: 0.791726| num_tokens: 11,792
Step 00147/00701 | Training loss: 0.754456| lrm: 0.790300| num_tokens: 11,406
Step 00148/00701 | Training loss: 0.986214| lrm: 0.788873| num_tokens: 11,851
Step 00149/00701 | Training loss: 1.036615| lrm: 0.787447| num_tokens: 10,965
Step 00150/00701 | Training loss: 0.925731| lrm: 0.786020| num_tokens: 12,442
Step 00151/00701 | Training loss: 0.882465| lrm: 0.784593| num_tokens: 13,097
Step 00152/00701 | Training loss: 0.846232| lrm: 0.783167| num_tokens: 9,273
Step 00153/00701 | Training loss: 0.579999| lrm: 0.781740| num_tokens: 9,340
Step 00154/00701 | Training loss: 0.893027| lrm: 0.780314| num_tokens: 10,309
Step 00155/00701 | Training loss: 1.115998| lrm: 0.778887| num_tokens: 11,642
Step 00156/00701 | Training loss: 0.548338| lrm: 0.777461| num_tokens: 9,852
Step 00157/00701 | Training loss: 0.645856| lrm: 0.776034| num_tokens: 11,823
Step 00158/00701 | Training loss: 1.349207| lrm: 0.774608| num_tokens: 9,889
Step 00159/00701 | Training loss: 0.804055| lrm: 0.773181| num_tokens: 8,294
Step 00160/00701 | Training loss: 0.944379| lrm: 0.771755| num_tokens: 9,147
Step 00161/00701 | Training loss: 0.917362| lrm: 0.770328| num_tokens: 10,368
Step 00162/00701 | Training loss: 0.788372| lrm: 0.768902| num_tokens: 11,818
Step 00163/00701 | Training loss: 0.811497| lrm: 0.767475| num_tokens: 12,740
Step 00164/00701 | Training loss: 0.797239| lrm: 0.766049| num_tokens: 10,021
Step 00165/00701 | Training loss: 0.747252| lrm: 0.764622| num_tokens: 10,501
Step 00166/00701 | Training loss: 1.000627| lrm: 0.763195| num_tokens: 10,713
Step 00167/00701 | Training loss: 0.849433| lrm: 0.761769| num_tokens: 11,109
Step 00168/00701 | Training loss: 0.485740| lrm: 0.760342| num_tokens: 7,203
Step 00169/00701 | Training loss: 0.970013| lrm: 0.758916| num_tokens: 8,279
Step 00170/00701 | Training loss: 0.905431| lrm: 0.757489| num_tokens: 10,397
Step 00171/00701 | Training loss: 0.728565| lrm: 0.756063| num_tokens: 9,095
Step 00172/00701 | Training loss: 1.335540| lrm: 0.754636| num_tokens: 10,190
Step 00173/00701 | Training loss: 0.683539| lrm: 0.753210| num_tokens: 11,924
Step 00174/00701 | Training loss: 0.356483| lrm: 0.751783| num_tokens: 9,396
Step 00175/00701 | Training loss: 0.941850| lrm: 0.750357| num_tokens: 14,366
Step 00176/00701 | Training loss: 0.782132| lrm: 0.748930| num_tokens: 13,229
Step 00177/00701 | Training loss: 0.730709| lrm: 0.747504| num_tokens: 10,423
Step 00178/00701 | Training loss: 0.527988| lrm: 0.746077| num_tokens: 5,404
Step 00179/00701 | Training loss: 0.648601| lrm: 0.744650| num_tokens: 9,709
Step 00180/00701 | Training loss: 0.559278| lrm: 0.743224| num_tokens: 12,616
Step 00181/00701 | Training loss: 1.185847| lrm: 0.741797| num_tokens: 14,208
Step 00182/00701 | Training loss: 1.323289| lrm: 0.740371| num_tokens: 11,936
Step 00183/00701 | Training loss: 0.499772| lrm: 0.738944| num_tokens: 10,579
Step 00184/00701 | Training loss: 0.969882| lrm: 0.737518| num_tokens: 12,366
Step 00185/00701 | Training loss: 0.677818| lrm: 0.736091| num_tokens: 9,865
Step 00186/00701 | Training loss: 0.754312| lrm: 0.734665| num_tokens: 10,017
Step 00187/00701 | Training loss: 0.762371| lrm: 0.733238| num_tokens: 10,321
Step 00188/00701 | Training loss: 0.662002| lrm: 0.731812| num_tokens: 7,022
Step 00189/00701 | Training loss: 1.434614| lrm: 0.730385| num_tokens: 6,412
Step 00190/00701 | Training loss: 0.724244| lrm: 0.728959| num_tokens: 12,971
Step 00191/00701 | Training loss: 1.010228| lrm: 0.727532| num_tokens: 11,477
Step 00192/00701 | Training loss: 0.455770| lrm: 0.726106| num_tokens: 11,435
Step 00193/00701 | Training loss: 0.920062| lrm: 0.724679| num_tokens: 8,983
Step 00194/00701 | Training loss: 0.994560| lrm: 0.723252| num_tokens: 10,248
Step 00195/00701 | Training loss: 0.815266| lrm: 0.721826| num_tokens: 14,030
Step 00196/00701 | Training loss: 0.823272| lrm: 0.720399| num_tokens: 10,726
Step 00197/00701 | Training loss: 1.309622| lrm: 0.718973| num_tokens: 6,880
Step 00198/00701 | Training loss: 0.816065| lrm: 0.717546| num_tokens: 11,226
Step 00199/00701 | Training loss: 0.799968| lrm: 0.716120| num_tokens: 10,491
Step 00200 | Validation loss: 1.020308
Final: 357/1024 (34.86%)
Final: 436/1024 (42.58%)
Step 00200 | mmlu_acc: 0.348633, arc_easy_acc: 0.425781
Step 00200/00701 | Training loss: 1.068192| lrm: 0.714693| num_tokens: 14,806
Step 00201/00701 | Training loss: 1.170804| lrm: 0.713267| num_tokens: 11,085
Step 00202/00701 | Training loss: 0.333986| lrm: 0.711840| num_tokens: 9,086
Step 00203/00701 | Training loss: 0.662222| lrm: 0.710414| num_tokens: 10,164
Step 00204/00701 | Training loss: 0.617888| lrm: 0.708987| num_tokens: 10,171
Step 00205/00701 | Training loss: 1.087716| lrm: 0.707561| num_tokens: 16,669
Step 00206/00701 | Training loss: 1.354477| lrm: 0.706134| num_tokens: 10,099
Step 00207/00701 | Training loss: 0.890480| lrm: 0.704708| num_tokens: 10,332
Step 00208/00701 | Training loss: 0.848668| lrm: 0.703281| num_tokens: 10,368
Step 00209/00701 | Training loss: 0.910824| lrm: 0.701854| num_tokens: 9,765
Step 00210/00701 | Training loss: 1.034827| lrm: 0.700428| num_tokens: 8,631
Step 00211/00701 | Training loss: 0.717518| lrm: 0.699001| num_tokens: 11,115
Step 00212/00701 | Training loss: 0.803691| lrm: 0.697575| num_tokens: 13,312
Step 00213/00701 | Training loss: 0.847403| lrm: 0.696148| num_tokens: 10,326
Step 00214/00701 | Training loss: 0.880762| lrm: 0.694722| num_tokens: 10,216
Step 00215/00701 | Training loss: 0.463749| lrm: 0.693295| num_tokens: 6,102
Step 00216/00701 | Training loss: 0.746657| lrm: 0.691869| num_tokens: 8,157
Step 00217/00701 | Training loss: 1.003361| lrm: 0.690442| num_tokens: 5,878
Step 00218/00701 | Training loss: 0.593327| lrm: 0.689016| num_tokens: 14,537
Step 00219/00701 | Training loss: 0.968814| lrm: 0.687589| num_tokens: 12,707
Step 00220/00701 | Training loss: 0.776447| lrm: 0.686163| num_tokens: 6,965
Step 00221/00701 | Training loss: 0.852662| lrm: 0.684736| num_tokens: 7,754
Step 00222/00701 | Training loss: 0.849521| lrm: 0.683310| num_tokens: 9,965
Step 00223/00701 | Training loss: 1.181760| lrm: 0.681883| num_tokens: 11,908
Step 00224/00701 | Training loss: 0.723979| lrm: 0.680456| num_tokens: 10,353
Step 00225/00701 | Training loss: 0.694984| lrm: 0.679030| num_tokens: 10,192
Step 00226/00701 | Training loss: 0.832386| lrm: 0.677603| num_tokens: 9,429
Step 00227/00701 | Training loss: 0.675943| lrm: 0.676177| num_tokens: 7,339
Step 00228/00701 | Training loss: 1.253879| lrm: 0.674750| num_tokens: 12,459
Step 00229/00701 | Training loss: 1.056469| lrm: 0.673324| num_tokens: 12,192
Step 00230/00701 | Training loss: 1.001329| lrm: 0.671897| num_tokens: 7,195
Step 00231/00701 | Training loss: 0.622846| lrm: 0.670471| num_tokens: 10,077
Step 00232/00701 | Training loss: 0.705842| lrm: 0.669044| num_tokens: 12,782
Step 00233/00701 | Training loss: 0.706951| lrm: 0.667618| num_tokens: 10,038
Step 00234/00701 | Training loss: 0.795947| lrm: 0.666191| num_tokens: 16,279
Step 00235/00701 | Training loss: 1.016307| lrm: 0.664765| num_tokens: 7,830
Step 00236/00701 | Training loss: 1.030053| lrm: 0.663338| num_tokens: 10,039
Step 00237/00701 | Training loss: 0.847788| lrm: 0.661912| num_tokens: 10,706
Step 00238/00701 | Training loss: 1.163379| lrm: 0.660485| num_tokens: 9,674
Step 00239/00701 | Training loss: 0.536022| lrm: 0.659058| num_tokens: 12,972
Step 00240/00701 | Training loss: 0.740893| lrm: 0.657632| num_tokens: 10,259
Step 00241/00701 | Training loss: 0.635489| lrm: 0.656205| num_tokens: 6,886
Step 00242/00701 | Training loss: 0.760145| lrm: 0.654779| num_tokens: 8,388
Step 00243/00701 | Training loss: 0.527354| lrm: 0.653352| num_tokens: 12,877
Step 00244/00701 | Training loss: 1.106987| lrm: 0.651926| num_tokens: 5,897
Step 00245/00701 | Training loss: 0.884721| lrm: 0.650499| num_tokens: 14,761
Step 00246/00701 | Training loss: 0.892850| lrm: 0.649073| num_tokens: 12,519
Step 00247/00701 | Training loss: 1.015291| lrm: 0.647646| num_tokens: 13,574
Step 00248/00701 | Training loss: 0.511653| lrm: 0.646220| num_tokens: 13,498
Step 00249/00701 | Training loss: 0.768122| lrm: 0.644793| num_tokens: 10,793
Step 00250/00701 | Training loss: 1.095394| lrm: 0.643367| num_tokens: 10,290
Step 00251/00701 | Training loss: 1.157508| lrm: 0.641940| num_tokens: 11,885
Step 00252/00701 | Training loss: 0.663844| lrm: 0.640514| num_tokens: 9,768
Step 00253/00701 | Training loss: 1.051223| lrm: 0.639087| num_tokens: 12,856
Step 00254/00701 | Training loss: 0.751788| lrm: 0.637660| num_tokens: 7,510
Step 00255/00701 | Training loss: 0.792880| lrm: 0.636234| num_tokens: 11,461
Step 00256/00701 | Training loss: 0.620882| lrm: 0.634807| num_tokens: 8,585
Step 00257/00701 | Training loss: 0.748556| lrm: 0.633381| num_tokens: 9,115
Step 00258/00701 | Training loss: 1.403658| lrm: 0.631954| num_tokens: 13,411
Step 00259/00701 | Training loss: 1.052316| lrm: 0.630528| num_tokens: 7,494
Step 00260/00701 | Training loss: 1.089897| lrm: 0.629101| num_tokens: 13,317
Step 00261/00701 | Training loss: 0.701114| lrm: 0.627675| num_tokens: 10,294
Step 00262/00701 | Training loss: 1.285668| lrm: 0.626248| num_tokens: 10,487
Step 00263/00701 | Training loss: 0.823743| lrm: 0.624822| num_tokens: 7,590
Step 00264/00701 | Training loss: 0.689441| lrm: 0.623395| num_tokens: 9,603
Step 00265/00701 | Training loss: 0.948502| lrm: 0.621969| num_tokens: 9,412
Step 00266/00701 | Training loss: 0.587350| lrm: 0.620542| num_tokens: 12,040
Step 00267/00701 | Training loss: 1.296070| lrm: 0.619116| num_tokens: 12,256
Step 00268/00701 | Training loss: 1.227357| lrm: 0.617689| num_tokens: 12,658
Step 00269/00701 | Training loss: 0.793317| lrm: 0.616262| num_tokens: 10,003
Step 00270/00701 | Training loss: 1.148252| lrm: 0.614836| num_tokens: 12,206
Step 00271/00701 | Training loss: 0.792972| lrm: 0.613409| num_tokens: 8,234
Step 00272/00701 | Training loss: 0.863199| lrm: 0.611983| num_tokens: 11,311
Step 00273/00701 | Training loss: 0.570054| lrm: 0.610556| num_tokens: 11,324
Step 00274/00701 | Training loss: 0.997329| lrm: 0.609130| num_tokens: 13,040
Step 00275/00701 | Training loss: 0.930158| lrm: 0.607703| num_tokens: 8,297
Step 00276/00701 | Training loss: 0.729493| lrm: 0.606277| num_tokens: 8,290
Step 00277/00701 | Training loss: 0.930430| lrm: 0.604850| num_tokens: 9,004
Step 00278/00701 | Training loss: 0.597213| lrm: 0.603424| num_tokens: 7,888
Step 00279/00701 | Training loss: 0.394042| lrm: 0.601997| num_tokens: 9,914
Step 00280/00701 | Training loss: 1.097758| lrm: 0.600571| num_tokens: 10,168
Step 00281/00701 | Training loss: 1.063443| lrm: 0.599144| num_tokens: 13,931
Step 00282/00701 | Training loss: 1.105519| lrm: 0.597718| num_tokens: 14,559
Step 00283/00701 | Training loss: 0.742762| lrm: 0.596291| num_tokens: 10,084
Step 00284/00701 | Training loss: 1.002087| lrm: 0.594864| num_tokens: 11,478
Step 00285/00701 | Training loss: 0.854689| lrm: 0.593438| num_tokens: 11,091
Step 00286/00701 | Training loss: 0.879268| lrm: 0.592011| num_tokens: 14,494
Step 00287/00701 | Training loss: 0.635470| lrm: 0.590585| num_tokens: 12,235
Step 00288/00701 | Training loss: 0.780078| lrm: 0.589158| num_tokens: 8,446
Step 00289/00701 | Training loss: 0.931466| lrm: 0.587732| num_tokens: 10,720
Step 00290/00701 | Training loss: 1.281353| lrm: 0.586305| num_tokens: 9,027
Step 00291/00701 | Training loss: 0.645647| lrm: 0.584879| num_tokens: 12,274
Step 00292/00701 | Training loss: 0.771280| lrm: 0.583452| num_tokens: 15,445
Step 00293/00701 | Training loss: 1.083093| lrm: 0.582026| num_tokens: 12,951
Step 00294/00701 | Training loss: 0.664376| lrm: 0.580599| num_tokens: 10,600
Step 00295/00701 | Training loss: 0.894119| lrm: 0.579173| num_tokens: 8,165
Step 00296/00701 | Training loss: 1.108464| lrm: 0.577746| num_tokens: 11,591
Step 00297/00701 | Training loss: 0.910437| lrm: 0.576320| num_tokens: 15,290
Step 00298/00701 | Training loss: 0.720689| lrm: 0.574893| num_tokens: 10,497
Step 00299/00701 | Training loss: 0.607894| lrm: 0.573466| num_tokens: 9,916
Step 00300 | Validation loss: 1.020422
Step 00300/00701 | Training loss: 0.639860| lrm: 0.572040| num_tokens: 7,525
Step 00301/00701 | Training loss: 0.667073| lrm: 0.570613| num_tokens: 9,463
Step 00302/00701 | Training loss: 0.776224| lrm: 0.569187| num_tokens: 11,117
Step 00303/00701 | Training loss: 0.872966| lrm: 0.567760| num_tokens: 11,072
Step 00304/00701 | Training loss: 1.083408| lrm: 0.566334| num_tokens: 11,471
